Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)|Wind's direction(°)|Wind's cardinal direction|Wind's speed(Beaufort)|Wind gust(Beaufort)|Wind gust(km/h)|Feel-like temperature|Azimuth|Elevation
2019-10-15|00:00:00|0.18|0.0|0.0|13.17|21.54|0.171|25.4|40.7|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:01:00|0.18|0.0|0.0|13.18|21.49|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:02:00|0.18|0.0|0.0|13.17|21.5|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:03:00|0.17|0.0|0.0|13.17|21.51|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:04:00|0.18|0.0|0.0|13.17|21.53|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:05:00|0.18|0.0|0.0|13.17|21.51|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:06:00|0.18|0.0|0.0|13.17|21.51|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:07:00|0.17|0.0|0.0|13.17|21.51|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:08:00|0.19|0.0|0.0|13.17|21.49|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:09:00|0.18|0.0|0.0|13.17|21.47|0.171|25.4|40.6|mo____|10.1|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|10.1|0.00|0.00
2019-10-15|00:10:00|0.18|0.0|0.0|13.17|21.48|0.171|25.4|40.6|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:11:00|0.18|0.0|0.0|13.17|21.5|0.171|25.4|40.6|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:12:00|0.18|0.0|0.0|13.17|21.47|0.171|25.4|40.6|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:13:00|0.18|0.0|0.0|13.17|21.46|0.171|25.4|40.6|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:14:00|0.18|0.0|0.0|13.17|21.46|0.171|25.4|40.6|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:15:00|0.18|0.0|0.0|13.17|21.47|0.171|25.4|40.5|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:16:00|0.19|0.0|0.0|13.17|21.46|0.171|25.4|40.5|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:17:00|0.18|0.0|0.0|13.17|21.47|0.171|25.4|40.5|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:18:00|0.2|0.0|0.0|13.17|21.45|0.171|25.4|40.4|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:19:00|0.19|0.0|0.0|13.17|21.47|0.171|25.4|40.4|nm____|9.5|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.9|0.00|0.00
2019-10-15|00:20:00|0.2|0.0|0.0|13.17|21.45|0.171|25.4|40.4|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:21:00|0.2|0.0|0.0|13.17|21.46|0.171|25.4|40.4|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:22:00|0.21|0.0|0.0|13.17|21.47|0.171|25.4|40.4|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:23:00|0.22|0.0|0.0|13.17|21.43|0.171|25.4|40.4|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:24:00|0.22|0.0|0.0|13.17|21.43|0.171|25.4|40.5|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:25:00|0.22|0.0|0.0|13.17|21.44|0.171|25.4|40.5|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:26:00|0.24|0.0|0.0|13.17|21.44|0.171|25.4|40.5|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:27:00|0.25|0.0|0.0|13.17|21.45|0.171|25.4|40.5|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:28:00|0.25|0.0|0.0|13.17|21.45|0.171|25.4|40.5|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:29:00|0.27|0.0|0.0|13.17|21.42|0.171|25.4|40.5|nm____|9.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|8.6|0.00|0.00
2019-10-15|00:30:00|0.26|0.0|0.0|13.17|21.42|0.171|25.4|40.5|nm____|8.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|7.5|0.00|0.00
2019-10-15|00:31:00|0.27|0.0|0.0|13.17|21.46|0.171|25.4|40.5|nm____|8.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|7.5|0.00|0.00
2019-10-15|00:32:00|0.27|0.0|0.0|13.17|21.42|0.171|25.4|40.5|nm____|8.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|7.5|0.00|0.00
2019-10-15|00:33:00|0.27|0.0|0.0|13.17|21.45|0.171|25.4|40.5|nm____|8.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|7.5|0.00|0.00
2019-10-15|00:34:00|0.27|0.0|0.0|13.17|21.42|0.171|25.4|40.4|nm____|8.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|7.5|0.00|0.00
2019-10-15|00:35:00|0.26|0.0|0.0|13.16|21.44|0.171|25.4|40.5|nm____|8.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|7.5|0.00|0.00
2019-10-15|00:36:00|0.27|0.0|0.0|13.17|21.42|0.171|25.4|40.5|nm____|8.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|7.5|0.00|0.00
2019-10-15|00:37:00|0.27|0.0|0.0|13.17|21.44|0.171|25.3|40.5|nm____|8.3|95|0|1.7|1012.8|0.0|10|215|sw|2|2|11|7.5|0.00|0.00
