Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)
2019-08-05|00:00:00|0.16|0.0|0.0|12.86|24.06|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:01:00|0.16|0.0|0.0|12.86|24.08|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:02:00|0.18|0.0|0.0|12.86|24.06|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:03:00|0.16|0.0|0.0|12.85|24.1|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:04:00|0.15|0.0|0.0|12.86|24.07|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:05:00|0.16|0.0|0.0|12.85|24.09|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:06:00|0.15|0.0|0.0|12.85|24.07|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:07:00|0.16|0.0|0.0|12.85|24.07|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:08:00|0.16|0.0|0.0|12.85|24.05|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:09:00|0.16|0.0|0.0|12.86|24.07|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:10:00|0.16|0.0|0.0|12.85|24.06|0.0|28.4|37.6|mo____|15.0|80|0|2.0|1015.9|0.0|15
2019-08-05|00:11:00|0.16|0.0|0.0|12.85|24.04|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:12:00|0.15|0.0|0.0|12.85|24.07|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:13:00|0.16|0.0|0.0|12.85|24.09|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:14:00|0.16|0.0|0.0|12.85|24.09|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:15:00|0.16|0.0|0.0|12.85|24.08|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:16:00|0.16|0.0|0.0|12.85|24.09|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:17:00|0.16|0.0|0.0|12.85|24.04|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:18:00|0.16|0.0|0.0|12.85|24.06|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:19:00|0.16|0.0|0.0|12.85|24.09|0.0|28.4|37.6|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:20:00|0.16|0.0|0.0|12.86|24.08|0.0|28.4|37.6|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:21:00|0.17|0.0|0.0|12.85|24.06|0.0|28.4|37.6|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:22:00|0.16|0.0|0.0|12.85|24.07|0.0|28.4|37.6|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:23:00|0.15|0.0|0.0|12.85|24.08|0.0|28.4|37.6|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:24:00|0.16|0.0|0.0|12.85|24.07|0.0|28.4|37.7|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:25:00|0.15|0.0|0.0|12.85|24.04|0.0|28.4|37.7|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:26:00|0.15|0.0|0.0|12.85|24.05|0.0|28.4|37.7|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:27:00|0.16|0.0|0.0|12.85|24.08|-0.0|28.4|37.6|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:28:00|0.16|0.0|0.0|12.85|24.04|0.0|28.4|37.6|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:29:00|0.17|0.0|0.0|12.85|24.03|0.0|28.4|37.7|mo____|14.4|80|0|2.0|1015.9|0.0|10
2019-08-05|00:30:00|0.15|0.0|0.0|12.85|24.04|0.0|28.4|37.7|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:31:00|0.16|0.0|0.0|12.85|24.08|0.0|28.4|37.7|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:32:00|0.17|0.0|0.0|12.85|24.07|-0.0|28.4|37.7|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:33:00|0.14|0.0|0.0|12.85|24.06|0.0|28.3|37.7|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:34:00|0.16|0.0|0.0|12.85|24.03|0.0|28.3|37.7|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:35:00|0.16|0.0|0.0|12.85|24.01|0.0|28.3|37.7|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:36:00|0.15|0.0|0.0|12.85|24.03|0.0|28.3|37.8|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:37:00|0.16|0.0|0.0|12.85|24.03|0.0|28.3|37.8|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:38:00|0.16|0.0|0.0|12.85|24.02|0.0|28.3|37.7|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:39:00|0.16|0.0|0.0|12.85|24.06|0.0|28.3|37.7|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:40:00|0.16|0.0|0.0|12.85|24.06|0.0|28.3|37.8|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:41:00|0.16|0.0|0.0|12.85|24.05|0.0|28.3|37.8|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:42:00|0.16|0.0|0.0|12.85|24.02|0.0|28.3|37.8|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:43:00|0.16|0.0|0.0|12.85|24.06|0.0|28.3|37.8|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:44:00|0.15|0.0|0.0|12.85|24.03|0.0|28.3|37.8|mo____|15.1|80|0|2.0|1015.9|0.0|10
2019-08-05|00:45:00|0.16|0.0|0.0|12.85|24.02|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:46:00|0.16|0.0|0.0|12.85|24.06|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:47:00|0.17|0.0|0.0|12.85|24.02|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:48:00|0.16|0.0|0.0|12.85|24.05|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:49:00|0.16|0.0|0.0|12.85|24.02|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:50:00|0.15|0.0|0.0|12.85|24.03|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:51:00|0.15|0.0|0.0|12.85|24.05|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:52:00|0.16|0.0|0.0|12.84|24.05|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:53:00|0.16|0.0|0.0|12.85|24.05|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:54:00|0.16|0.0|0.0|12.84|24.01|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:55:00|0.15|0.0|0.0|12.85|24.0|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:56:00|0.15|0.0|0.0|12.85|24.04|-0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:57:00|0.15|0.0|0.0|12.85|24.01|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:58:00|0.16|0.0|0.0|12.85|24.03|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|00:59:00|0.16|0.0|0.0|12.84|24.03|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:00:00|0.15|0.0|0.0|12.84|24.0|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:01:00|0.16|0.0|0.0|12.84|24.04|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:02:00|0.16|0.0|0.0|12.85|24.04|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:03:00|0.16|0.0|0.0|12.84|23.99|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:04:00|0.16|0.0|0.0|12.84|24.03|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:05:00|0.15|0.0|0.0|12.85|24.02|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:06:00|0.12|0.0|0.0|12.85|24.02|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:07:00|0.16|0.0|0.0|12.85|24.0|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:08:00|0.16|0.0|0.0|12.85|23.99|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:09:00|0.14|0.0|0.0|12.85|24.01|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:10:00|0.16|0.0|0.0|12.84|23.99|0.0|28.3|37.8|mo____|14.7|80|0|2.0|1015.9|0.0|10
2019-08-05|01:11:00|0.16|0.0|0.0|12.84|24.01|0.0|28.3|37.8|mo____|14.0|80|0|1.9|1015.8|0.0|10
2019-08-05|01:12:00|0.16|0.0|0.0|12.84|23.97|0.0|28.3|37.8|mo____|14.0|80|0|1.9|1015.8|0.0|10
2019-08-05|01:13:00|0.16|0.0|0.0|12.84|24.01|0.0|28.3|37.8|mo____|14.0|80|0|1.9|1015.8|0.0|10
