Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)|Wind's direction(°)|Wind's cardinal direction|Wind's speed(Beaufort)|Wind gust(Beaufort)|Wind gust(km/h)|Feel-like temperature
2019-09-05|00:00:00|0.17|0.0|0.0|12.96|23.79|0.227|28.1|34.6|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:01:00|0.16|0.0|0.0|12.96|23.81|0.227|28.0|34.6|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:02:00|0.15|0.0|0.0|12.96|23.78|0.227|28.0|34.6|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:03:00|0.16|0.0|0.0|12.96|23.77|0.227|28.0|34.6|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:04:00|0.18|0.0|0.0|12.96|23.82|0.227|28.0|34.6|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:05:00|0.16|0.0|0.0|12.96|23.8|0.227|28.0|34.6|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:06:00|0.15|0.0|0.0|12.95|23.79|0.227|28.0|34.7|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:07:00|0.18|0.0|0.0|12.96|23.77|0.227|28.0|34.7|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:08:00|0.17|0.0|0.0|12.96|23.77|0.227|28.0|34.7|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:09:00|0.16|0.0|0.0|12.96|23.8|0.227|28.0|34.6|mo____|16.3|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.3
2019-09-05|00:10:00|0.16|0.0|0.0|12.96|23.76|0.227|28.0|34.7|mo____|16.0|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.0
2019-09-05|00:11:00|0.16|0.0|0.0|12.96|23.76|0.227|28.0|34.7|mo____|16.0|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.0
2019-09-05|00:12:00|0.16|0.0|0.0|12.95|23.76|0.227|28.0|34.7|mo____|16.0|75|0|3.2|1015.9|0.0|10|250|w|2|4|20|16.0
