Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)|Wind's direction(°)|Wind's cardinal direction|Wind's speed(Beaufort)|Wind gust(Beaufort)|Wind gust(km/h)|Feel-like temperature|Azimuth|Elevation
2019-10-02|00:00:00|0.19|0.0|0.0|12.73|22.38|0.171|26.8|38.0|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:01:00|0.18|0.0|0.0|12.73|22.34|0.171|26.8|38.0|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:02:00|0.16|0.0|0.0|12.73|22.39|0.171|26.8|38.1|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:03:00|0.17|0.0|0.0|12.73|22.34|0.171|26.8|38.1|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:04:00|0.18|0.0|0.0|12.73|22.37|0.171|26.8|38.0|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:05:00|0.17|0.0|0.0|12.73|22.36|0.171|26.8|38.0|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:06:00|0.17|0.0|0.0|12.74|22.34|0.171|26.8|38.0|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:07:00|0.16|0.0|0.0|12.74|22.34|0.171|26.8|38.0|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:08:00|0.16|0.0|0.0|12.74|22.38|0.171|26.8|38.0|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:09:00|0.16|0.0|0.0|12.74|22.38|0.171|26.8|38.0|mdr2__|15.3|80|0|2.7|1005.5|2.3|75|225|sw|2|5|38|15.3|0.00|0.00
2019-10-02|00:10:00|0.17|0.0|0.0|12.74|22.37|0.171|26.8|38.1|mdr2__|15.0|85|0|2.7|1005.4|1.9|75|220|sw|2|5|38|15.0|0.00|0.00
2019-10-02|00:11:00|0.16|0.0|0.0|12.74|22.34|0.171|26.8|38.0|mdr2__|15.0|85|0|2.7|1005.4|1.9|75|220|sw|2|5|38|15.0|0.00|0.00
2019-10-02|00:12:00|0.17|0.0|0.0|12.73|22.33|0.171|26.8|38.0|mdr2__|15.0|85|0|2.7|1005.4|1.9|75|220|sw|2|5|38|15.0|0.00|0.00
2019-10-02|00:13:00|0.18|0.0|0.0|12.74|22.35|0.171|26.8|38.1|mdr2__|15.0|85|0|2.7|1005.4|1.9|75|220|sw|2|5|38|15.0|0.00|0.00
2019-10-02|00:14:00|0.16|0.0|0.0|12.74|22.36|0.171|26.8|38.1|mdr2__|15.0|85|0|2.7|1005.4|1.9|75|220|sw|2|5|38|15.0|0.00|0.00
2019-10-02|00:15:00|0.16|0.0|0.0|12.74|22.36|0.171|26.8|38.1|mdr2__|15.0|85|0|2.7|1005.4|1.9|75|220|sw|2|5|38|15.0|0.00|0.00
