Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)
2019-08-07|00:00:00|0.16|0.0|0.0|12.87|23.7|0.0|28.0|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:01:00|0.15|0.0|0.0|12.87|23.7|0.0|28.0|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:02:00|0.15|0.0|0.0|12.87|23.75|0.0|28.0|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:03:00|0.15|0.0|0.0|12.87|23.74|0.0|28.0|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:04:00|0.15|0.0|0.0|12.86|23.73|0.0|28.1|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:05:00|0.15|0.0|0.0|12.87|23.75|0.0|28.1|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:06:00|0.16|0.0|0.0|12.87|23.76|0.0|28.1|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:07:00|0.16|0.0|0.0|12.86|23.75|-0.0|28.1|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:08:00|0.15|0.0|0.0|12.86|23.73|0.0|28.1|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:09:00|0.16|0.0|0.0|12.87|23.71|0.0|28.1|44.1|md____|19.8|85|0|2.5|1011.3|0.0|50
2019-08-07|00:10:00|0.17|0.0|0.0|12.86|23.77|0.0|28.1|44.1|mb____|17.8|85|0|2.6|1011.4|0.0|50
2019-08-07|00:11:00|0.16|0.0|0.0|12.87|23.74|0.0|28.1|44.1|mb____|17.8|85|0|2.6|1011.4|0.0|50
2019-08-07|00:12:00|0.15|0.0|0.0|12.86|23.72|0.0|28.1|44.1|mb____|17.8|85|0|2.6|1011.4|0.0|50
2019-08-07|00:13:00|0.16|0.0|0.0|12.87|23.72|0.0|28.1|44.1|mb____|17.8|85|0|2.6|1011.4|0.0|50
2019-08-07|00:14:00|0.16|0.0|0.0|12.86|23.75|0.0|28.1|44.1|mb____|17.8|85|0|2.6|1011.4|0.0|50
2019-08-07|00:15:00|0.16|0.0|0.0|12.86|23.73|0.0|28.1|44.1|mb____|17.8|85|0|2.6|1011.4|0.0|50
2019-08-07|00:16:00|0.17|0.0|0.0|12.87|23.77|0.0|28.1|44.1|mb____|17.8|85|0|2.6|1011.4|0.0|50
