Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)|Wind's direction(°)|Wind's cardinal direction|Wind's speed(Beaufort)|Wind gust(Beaufort)|Wind gust(km/h)|Feel-like temperature
2019-08-30|00:00:00|0.16|0.0|0.0|12.9|24.12|0.171|28.2|48.3|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:01:00|0.16|0.0|0.0|12.9|24.11|0.171|28.2|48.3|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:02:00|0.16|0.0|0.0|12.9|24.12|0.171|28.2|48.3|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:03:00|0.14|0.0|0.0|12.9|24.1|0.171|28.2|48.3|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:04:00|0.16|0.0|0.0|12.9|24.1|0.171|28.2|48.3|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:05:00|0.16|0.0|0.0|12.9|24.13|0.171|28.2|48.2|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:06:00|0.15|0.0|0.0|12.9|24.13|0.171|28.2|48.3|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:07:00|0.15|0.0|0.0|12.9|24.1|0.171|28.2|48.2|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:08:00|0.16|0.0|0.0|12.9|24.1|0.171|28.2|48.2|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:09:00|0.16|0.0|0.0|12.9|24.11|0.171|28.2|48.3|mo____|18.2|90|0|2.9|1021.4|0.0|15|230|sw|2|3|14|18.2
2019-08-30|00:10:00|0.16|0.0|0.0|12.9|24.11|0.171|28.2|48.2|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:11:00|0.16|0.0|0.0|12.9|24.12|0.171|28.2|48.2|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:12:00|0.16|0.0|0.0|12.9|24.13|0.171|28.2|48.2|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:13:00|0.15|0.0|0.0|12.9|24.1|0.171|28.2|48.2|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:14:00|0.17|0.0|0.0|12.9|24.13|0.171|28.2|48.2|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:15:00|0.14|0.0|0.0|12.9|24.1|0.171|28.2|48.2|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:16:00|0.16|0.0|0.0|12.89|24.12|0.171|28.2|48.1|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:17:00|0.17|0.0|0.0|12.89|24.12|0.171|28.2|48.2|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:18:00|0.17|0.0|0.0|12.89|24.13|0.171|28.2|48.1|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:19:00|0.16|0.0|0.0|12.9|24.14|0.171|28.3|48.2|mo____|17.9|95|0|2.8|1021.4|0.0|15|230|sw|2|3|14|17.9
2019-08-30|00:20:00|0.16|0.0|0.0|12.89|24.13|0.171|28.3|48.1|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:21:00|0.16|0.0|0.0|12.9|24.13|0.171|28.3|48.1|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:22:00|0.16|0.0|0.0|12.89|24.11|0.171|28.3|48.2|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:23:00|0.15|0.0|0.0|12.9|24.11|0.171|28.3|48.1|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:24:00|0.17|0.0|0.0|12.9|24.14|0.171|28.3|48.1|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:25:00|0.15|0.0|0.0|12.89|24.12|0.171|28.3|48.1|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:26:00|0.16|0.0|0.0|12.89|24.14|0.171|28.3|48.1|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:27:00|0.15|0.0|0.0|12.89|24.14|0.171|28.3|48.1|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:28:00|0.15|0.0|0.0|12.89|24.1|0.171|28.3|48.1|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:29:00|0.17|0.0|0.0|12.89|24.14|0.171|28.3|48.2|mo____|17.9|95|0|2.7|1021.5|0.0|10|230|sw|2|3|15|17.9
2019-08-30|00:30:00|0.16|0.0|0.0|12.89|24.15|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:31:00|0.16|0.0|0.0|12.89|24.14|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:32:00|0.16|0.0|0.0|12.89|24.11|0.171|28.3|48.2|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:33:00|0.17|0.0|0.0|12.89|24.11|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:34:00|0.18|0.0|0.0|12.89|24.15|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:35:00|0.16|0.0|0.0|12.89|24.12|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:36:00|0.15|0.0|0.0|12.89|24.16|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:37:00|0.16|0.0|0.0|12.89|24.11|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:38:00|0.15|0.0|0.0|12.89|24.12|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:39:00|0.15|0.0|0.0|12.89|24.11|0.171|28.3|48.1|mo____|17.2|95|0|2.6|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:40:00|0.15|0.0|0.0|12.89|24.15|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:41:00|0.15|0.0|0.0|12.89|24.15|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:42:00|0.16|0.0|0.0|12.89|24.15|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:43:00|0.16|0.0|0.0|12.89|24.15|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:44:00|0.16|0.0|0.0|12.89|24.11|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:45:00|0.16|0.0|0.0|12.89|24.12|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:46:00|0.16|0.0|0.0|12.89|24.12|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:47:00|0.16|0.0|0.0|12.88|24.15|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:48:00|0.15|0.0|0.0|12.89|24.16|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:49:00|0.16|0.0|0.0|12.89|24.14|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:50:00|0.19|0.0|0.0|12.88|24.14|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:51:00|0.16|0.0|0.0|12.89|24.13|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:52:00|0.16|0.0|0.0|12.89|24.15|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:53:00|0.15|0.0|0.0|12.88|24.16|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:54:00|0.15|0.0|0.0|12.89|24.15|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:55:00|0.16|0.0|0.0|12.89|24.14|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:56:00|0.15|0.0|0.0|12.88|24.13|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:57:00|0.15|0.0|0.0|12.88|24.12|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:58:00|0.16|0.0|0.0|12.89|24.16|0.171|28.3|47.9|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|00:59:00|0.15|0.0|0.0|12.89|24.12|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:00:00|0.16|0.0|0.0|12.88|24.12|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:01:00|0.15|0.0|0.0|12.89|24.16|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:02:00|0.16|0.0|0.0|12.88|24.14|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:03:00|0.16|0.0|0.0|12.88|24.13|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:04:00|0.16|0.0|0.0|12.88|24.14|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:05:00|0.16|0.0|0.0|12.88|24.16|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:06:00|0.15|0.0|0.0|12.88|24.16|0.171|28.3|48.1|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:07:00|0.16|0.0|0.0|12.89|24.16|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:08:00|0.15|0.0|0.0|12.88|24.16|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:09:00|0.16|0.0|0.0|12.88|24.14|0.171|28.3|48.0|mo____|17.2|95|0|2.5|1021.5|0.0|10|235|sw|2|3|15|17.2
2019-08-30|01:10:00|0.16|0.0|0.0|12.88|24.12|0.171|28.3|48.0|mo____|17.2|95|0|2.2|1021.5|0.0|10|240|sw|2|3|15|17.2
