Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)|Wind's direction(°)|Wind's cardinal direction|Wind's speed(Beaufort)|Wind gust(Beaufort)|Wind gust(km/h)|Feel-like temperature
2019-09-10|09:34:00|14.15|0.24|3.11|12.96|20.03|177.434|25.1|35.5|wb____|9.2|95|385|1.7|1017.7|0.0|20|70|o|2|2|12|8.5
2019-09-10|09:34:00|14.14|0.25|3.1|12.96|20.06|176.468|25.1|35.5|wb____|9.2|95|385|1.7|1017.7|0.0|20|70|o|2|2|12|8.5
2019-09-10|09:46:00|14.14|0.19|2.98|12.96|20.07|174.136|25.1|35.8|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|09:46:00|14.15|0.25|2.85|12.95|20.09|174.875|25.1|35.8|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|09:47:00|14.14|0.2|2.85|12.96|20.09|174.648|25.1|35.8|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|09:59:00|14.19|0.26|4.15|12.98|20.12|176.126|25.2|35.9|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|09:59:00|14.18|0.3|4.42|12.99|20.1|175.046|25.2|35.9|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|10:00:00|14.2|0.27|3.51|12.99|20.11|174.818|25.2|35.9|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|10:07:00|14.2|0.28|3.77|13.0|20.15|172.771|25.3|35.9|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|10:07:00|14.2|0.27|3.64|13.0|20.13|173.738|25.3|35.9|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|10:08:00|14.2|0.26|4.03|13.0|20.12|175.16|25.3|36.0|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|10:09:00|14.21|0.24|4.16|13.0|20.12|176.923|25.3|36.0|wb____|9.8|90|380|1.8|1017.6|0.0|25|65|no|2|3|14|9.1
2019-09-10|10:12:00|14.2|0.27|3.64|13.01|20.14|177.832|25.3|36.0|wb____|11.0|90|305|2.0|1017.5|0.0|30|65|no|2|3|18|11.0
2019-09-10|10:13:00|14.22|0.26|3.64|13.01|20.12|178.742|25.3|36.0|wb____|11.0|90|305|2.0|1017.5|0.0|30|65|no|2|3|18|11.0
2019-09-10|10:14:00|14.22|0.29|4.29|13.01|20.16|178.97|25.3|36.0|wb____|11.0|90|305|2.0|1017.5|0.0|30|65|no|2|3|18|11.0
2019-09-10|10:15:00|14.23|0.3|4.68|13.01|20.14|181.757|25.3|36.0|wb____|11.0|90|305|2.0|1017.5|0.0|30|65|no|2|3|18|11.0
2019-09-10|10:16:00|14.25|0.31|4.42|13.03|20.14|183.235|25.3|36.0|wb____|11.0|90|305|2.0|1017.5|0.0|30|65|no|2|3|18|11.0
2019-09-10|10:17:00|14.26|0.32|4.69|13.03|20.18|186.192|25.3|36.0|wb____|11.0|90|305|2.0|1017.5|0.0|30|65|no|2|3|18|11.0
2019-09-10|10:43:00|14.19|0.22|3.12|13.01|20.21|184.145|25.5|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:43:00|14.19|0.22|3.12|13.01|20.21|183.406|25.6|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:44:00|14.19|0.22|3.25|13.01|20.21|183.065|25.6|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:45:00|14.19|0.24|3.12|13.01|20.25|183.576|25.6|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:46:00|14.18|0.22|3.38|13.01|20.24|183.292|25.6|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:47:00|14.16|0.22|3.25|13.01|20.23|176.24|25.6|36.2|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:48:00|14.18|0.21|2.86|13.01|20.27|178.117|25.6|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:49:00|14.17|0.22|3.12|13.01|20.26|182.951|25.7|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:50:00|14.18|0.21|2.86|13.01|20.26|182.496|25.7|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:54:00|14.16|0.24|3.51|13.02|20.25|176.979|25.7|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:54:00|14.17|0.23|3.38|13.01|20.25|183.065|25.7|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:56:00|14.2|0.24|3.64|13.02|20.25|181.415|25.7|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:56:00|14.22|0.23|3.51|13.01|20.28|181.302|25.7|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:57:00|14.2|0.22|3.25|13.02|20.28|181.472|25.7|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
2019-09-10|10:58:00|14.18|0.22|3.25|13.01|20.29|182.439|25.8|36.0|wb____|12.4|80|465|2.0|1017.4|0.0|25|65|no|2|3|17|12.4
