Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)|Wind's direction(°)|Wind's cardinal direction|Wind's speed(Beaufort)|Wind gust(Beaufort)|Wind gust(km/h)|Feel-like temperature|Azimuth|Elevation
2019-10-08|00:00:00|0.18|0.0|0.0|12.58|19.61|0.171|24.3|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:01:00|0.2|0.0|0.0|12.58|19.57|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:02:00|0.18|0.0|0.0|12.58|19.58|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:03:00|0.19|0.0|0.0|12.59|19.58|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:04:00|0.18|0.0|0.0|12.58|19.57|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:05:00|0.18|0.0|0.0|12.59|19.59|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:06:00|0.18|0.0|0.0|12.58|19.59|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:07:00|0.19|0.0|0.0|12.58|19.58|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:08:00|0.19|0.0|0.0|12.58|19.56|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:09:00|0.18|0.0|0.0|12.59|19.55|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:10:00|0.19|0.0|0.0|12.58|19.56|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:11:00|0.18|0.0|0.0|12.58|19.57|0.171|24.2|35.2|md____|5.9|95|0|1.4|1020.8|0.0|50|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:12:00|0.19|0.0|0.0|12.58|19.58|0.171|24.2|35.3|md____|5.9|95|0|1.4|1020.8|0.0|45|195|s|1|2|11|5.0|0.00|0.00
2019-10-08|00:13:00|0.18|0.0|0.0|12.59|19.56|0.171|24.2|35.3|md____|5.9|95|0|1.4|1020.8|0.0|45|195|s|1|2|11|5.0|0.00|0.00
